"Advertiser name",Category,Manufacturer,"Product code","Product name","Product affiliate link","Product picture","Price with VAT","Price with discount, with VAT"
Gimihome.ro,"NEW PRODUCTS","Strend Pro",ARC216935,"Mistrie trapez, 160 mm, Strend Pro",//profitshare.ro/lps/8NF/K79/?redirect=https%3A%2F%2Fgimihome.ro%2F380%2F13818-mistrie-trapez-160-mm-strend-pro.html,http://gimihome.ro/img/p/4/5/5/6/3/45563.jpg,44.98,
Gimihome.ro,"NEW PRODUCTS","Strend Pro",ARC216860,"Spaclu cu maner din PVC, 80 mm, Strend Pro",//profitshare.ro/lps/8NF/K79/?redirect=https%3A%2F%2Fgimihome.ro%2F380%2F13814-spaclu-cu-maner-din-pvc-80-mm-strend-pro.html,http://gimihome.ro/img/p/4/5/5/5/5/45555.jpg,44.98,
Gimihome.ro,"NEW PRODUCTS","Strend Pro",ARC216862,"Spaclu cu maner din PVC, 100 mm, Strend Pro",//profitshare.ro/lps/8NF/K79/?redirect=https%3A%2F%2Fgimihome.ro%2F380%2F13815-spaclu-cu-maner-din-pvc-100-mm-strend-pro.html,http://gimihome.ro/img/p/4/5/5/5/6/45556.jpg,48.21,
Gimihome.ro,"NEW PRODUCTS","Strend Pro",ARC216859,"Spaclu cu maner din PVC, 60 mm, Strend Pro",//profitshare.ro/lps/8NF/K79/?redirect=https%3A%2F%2Fgimihome.ro%2F380%2F13813-spaclu-cu-maner-din-pvc-60-mm-strend-pro.html,http://gimihome.ro/img/p/4/5/5/5/4/45554.jpg,44.3,
Gimihome.ro,"NEW PRODUCTS","Strend Pro",ARC216848,"Razuitor polistiren, 40x18 cm, Strend Pro",//profitshare.ro/lps/8NF/K79/?redirect=https%3A%2F%2Fgimihome.ro%2F380%2F13810-razuitor-polistiren-40x18-cm-strend-pro.html,http://gimihome.ro/img/p/4/5/5/4/9/45549.jpg,116.28,
Gimihome.ro,"NEW PRODUCTS","Strend Pro",ARC216215,"Mistrie cu maner din PVC, 160 mm, Strend Pro",//profitshare.ro/lps/8NF/K79/?redirect=https%3A%2F%2Fgimihome.ro%2F380%2F13791-mistrie-cu-maner-din-pvc-160-mm-strend-pro.html,http://gimihome.ro/img/p/4/5/5/2/7/45527.jpg,51.4,
Gimihome.ro,"NEW PRODUCTS","Strend Pro",ARC216828,"Spaclu cu maner din PVC, 40 mm, Strend Pro",//profitshare.ro/lps/8NF/K79/?redirect=https%3A%2F%2Fgimihome.ro%2F380%2F13809-spaclu-cu-maner-din-pvc-40-mm-strend-pro.html,http://gimihome.ro/img/p/4/5/5/4/8/45548.jpg,48.53,
Gimihome.ro,"NEW PRODUCTS","Strend Pro",ARC216192,"Mistrie din inox trapez, 180 mm,  Strend Pro",//profitshare.ro/lps/8NF/K79/?redirect=https%3A%2F%2Fgimihome.ro%2F380%2F13787-mistrie-din-inox-trapez-180-mm-strend-pro.html,http://gimihome.ro/img/p/4/5/5/2/3/45523.jpg,56.33,
Gimihome.ro,"NEW PRODUCTS","Strend Pro",ARC216198,"Mistrie din inox trapez, 160 mm, Strend Pro",//profitshare.ro/lps/8NF/K79/?redirect=https%3A%2F%2Fgimihome.ro%2F380%2F13788-mistrie-din-inox-trapez-160-mm-strend-pro.html,http://gimihome.ro/img/p/4/5/5/2/4/45524.jpg,56.25,
Gimihome.ro,"NEW PRODUCTS","Strend Pro",ARC216161,"Mistrie cu maner din PVC, 180 mm, Strend Pro",//profitshare.ro/lps/8NF/K79/?redirect=https%3A%2F%2Fgimihome.ro%2F380%2F13785-mistrie-cu-maner-din-pvc-180-mm-strend-pro.html,http://gimihome.ro/img/p/4/5/5/2/1/45521.jpg,46.12,
